代码,日期,收盘,行业名称,日涨跌幅,市场环境,沪深300涨跌幅,超额收益,行业分组
801040,2024-08-13,1837.17,钢铁,0.006756756756756799,震荡期,0.002563242945820221,0.004193513810936578,周期类
801040,2024-08-14,1806.09,钢铁,-0.016917323927562622,下跌期,-0.007542908897879341,-0.00937441502968328,周期类
801040,2024-08-15,1820.17,钢铁,0.007795846275656437,下跌期,0.009885656490812522,-0.002089810215156085,周期类
801040,2024-08-16,1801.15,钢铁,-0.010449573391496436,下跌期,0.0011014517559044812,-0.011551025147400917,周期类
801040,2024-08-19,1803.24,钢铁,0.0011603697637621035,震荡期,0.0033876987142047454,-0.002227328950442642,周期类
801040,2024-08-20,1780.46,钢铁,-0.012632816485880993,震荡期,-0.007228248824534433,-0.00540456766134656,周期类
801040,2024-08-21,1770.91,钢铁,-0.005363782393314032,震荡期,-0.0033210280063958875,-0.002042754386918144,周期类
801040,2024-08-22,1748.73,钢铁,-0.012524634227600528,震荡期,-0.0025586796863593664,-0.009965954541241162,周期类
801040,2024-08-23,1748.58,钢铁,-8.577653497110482e-05,震荡期,0.004242204364686364,-0.004327980899657469,周期类
801040,2024-08-26,1763.67,钢铁,0.008629859657550698,震荡期,-0.0008920437690531635,0.009521903426603862,周期类
801040,2024-08-27,1746.03,钢铁,-0.010001871098334725,震荡期,-0.005682230103094765,-0.0043196409952399595,周期类
801040,2024-08-28,1746.65,钢铁,0.00035509126418231673,震荡期,-0.005699272751255924,0.0060543640154382405,周期类
801040,2024-08-29,1744.41,钢铁,-0.0012824549852574751,震荡期,-0.0026821879594559617,0.0013997329741984865,周期类
801040,2024-08-30,1760.88,钢铁,0.009441587700139253,震荡期,0.013348156821850532,-0.003906569121711279,周期类
801040,2024-09-02,1736.55,钢铁,-0.013816955158784339,震荡期,-0.016986950207019125,0.003169995048234786,周期类
801040,2024-09-03,1738.55,钢铁,0.0011517088480033078,震荡期,0.0025779392473714857,-0.001426230399368178,周期类
801040,2024-09-04,1723.95,钢铁,-0.008397802766673346,震荡期,-0.006495636989724551,-0.0019021657769487943,周期类
801040,2024-09-05,1731.84,钢铁,0.004576698860175643,震荡期,0.0017197774405663946,0.0028569214196092485,周期类
801040,2024-09-06,1714.99,钢铁,-0.009729536215816625,震荡期,-0.008107416204641282,-0.001622120011175343,周期类
801040,2024-09-09,1689.37,钢铁,-0.01493886261727484,震荡期,-0.011881735970087903,-0.0030571266471869363,周期类
801040,2024-09-10,1683.34,钢铁,-0.0035693779337859777,震荡期,0.0008778710109014209,-0.004447248944687399,周期类
801040,2024-09-11,1668.0,钢铁,-0.00911283519669226,震荡期,-0.003011807851352799,-0.00610102734533946,周期类
801040,2024-09-12,1668.7,钢铁,0.0004196642685851959,下跌期,-0.0042857636066325755,0.004705427875217771,周期类
801040,2024-09-13,1669.78,钢铁,0.0006472104033079518,下跌期,-0.00416961520579362,0.0048168256091015715,周期类
801040,2024-09-18,1659.2,钢铁,-0.006336164045562809,下跌期,0.0037233555970774823,-0.010059519642640291,周期类
801040,2024-09-19,1689.67,钢铁,0.018364271938283494,震荡期,0.007892122699076909,0.010472149239206585,周期类
801040,2024-09-20,1676.51,钢铁,-0.007788503080483178,震荡期,0.0015688183737605499,-0.009357321454243728,周期类
801040,2024-09-23,1690.59,钢铁,0.008398399055180139,震荡期,0.003659424251417409,0.00473897480376273,周期类
801040,2024-09-24,1785.2,钢铁,0.055962711242820706,震荡期,0.04331005950016875,0.012652651742651955,周期类
801040,2024-09-25,1819.68,钢铁,0.0193143625364105,震荡期,0.014804697860234306,0.004509664676176195,周期类
